1785734801938,bot11,rtt,76
1785734801938,bot13,rtt,77
1785734801939,bot14,rtt,78
1785734801943,bot16,rtt,82
1785734801945,bot19,rtt,84
1785734801946,bot18,rtt,85
1785734801947,bot21,rtt,86
1785734801947,bot20,rtt,86
1785734801961,bot25,rtt,104
1785734802914,bot15,rtt,45
1785734802917,bot2,rtt,48
1785734802919,bot4,rtt,50
1785734802920,bot6,rtt,51
1785734802922,bot8,rtt,53
1785734802924,bot11,rtt,54
1785734802925,bot10,rtt,56
1785734802927,bot19,rtt,58
1785734802929,bot21,rtt,60
1785734802930,bot14,rtt,61
1785734802931,bot23,rtt,66
1785734802933,bot16,rtt,64
1785734802934,bot24,rtt,69
1785734802937,bot18,rtt,68
1785734802937,bot26,rtt,72
1785734802940,bot20,rtt,71
1785734802941,bot28,rtt,76
1785734802943,bot22,rtt,78
1785734802945,bot27,rtt,80
1785734802947,bot29,rtt,82
1785734802951,bot0,rtt,82
1785734802954,bot1,rtt,85
1785734802958,bot13,rtt,89
1785734802959,bot25,rtt,94
1785734802962,bot5,rtt,93
1785734802963,bot7,rtt,94
1785734802965,bot9,rtt,96
1785734802966,bot12,rtt,101
1785734802968,bot17,rtt,99
1785734803014,bot3,rtt,145
1785734803918,bot15,rtt,44
1785734803919,bot1,rtt,45
1785734803920,bot0,rtt,46
1785734803920,bot2,rtt,46
1785734803921,bot3,rtt,47
1785734803922,bot5,rtt,48
1785734803923,bot4,rtt,49
1785734803924,bot7,rtt,50
1785734803925,bot6,rtt,51
1785734803926,bot9,rtt,52
1785734803927,bot8,rtt,53
1785734803928,bot11,rtt,54
1785734803929,bot10,rtt,55
1785734803930,bot13,rtt,56
1785734803931,bot12,rtt,57
1785734803932,bot17,rtt,58
1785734803934,bot14,rtt,60
1785734803935,bot19,rtt,61
1785734803937,bot16,rtt,63
1785734803938,bot21,rtt,64
1785734803938,bot18,rtt,64
1785734803939,bot23,rtt,66
1785734803941,bot20,rtt,67
1785734803942,bot24,rtt,69
1785734803943,bot22,rtt,69
1785734803944,bot26,rtt,71
1785734803945,bot25,rtt,72
1785734803946,bot28,rtt,73
1785734803947,bot27,rtt,74
1785734803948,bot29,rtt,75
1785734804934,bot3,rtt,44
1785734804935,bot5,rtt,45
1785734804936,bot7,rtt,46
1785734804936,bot9,rtt,46
1785734804938,bot0,rtt,48
1785734804939,bot11,rtt,49
1785734804939,bot2,rtt,49
1785734804940,bot13,rtt,50
1785734804941,bot17,rtt,51
1785734804941,bot4,rtt,51
1785734804942,bot19,rtt,52
1785734804943,bot21,rtt,53
1785734804944,bot6,rtt,54
1785734804944,bot23,rtt,54
1785734804946,bot8,rtt,56
1785734804946,bot24,rtt,56
1785734804947,bot10,rtt,57
1785734804947,bot26,rtt,57
1785734804948,bot12,rtt,58
1785734804949,bot15,rtt,59
1785734804950,bot28,rtt,60
1785734804951,bot14,rtt,61
1785734804951,bot16,rtt,61
1785734804952,bot18,rtt,62
1785734804953,bot20,rtt,63
1785734804954,bot22,rtt,64
1785734804955,bot25,rtt,65
1785734804956,bot27,rtt,66
1785734804957,bot29,rtt,67
1785734804985,bot1,rtt,95
1785734805998,bot13,rtt,48
1785734806000,bot17,rtt,50
1785734806003,bot10,rtt,53
1785734806006,bot19,rtt,56
1785734806007,bot12,rtt,57
1785734806009,bot21,rtt,59
1785734806010,bot14,rtt,60
1785734806011,bot23,rtt,61
1785734806013,bot16,rtt,63
1785734806019,bot24,rtt,69
1785734806020,bot26,rtt,70
1785734806022,bot18,rtt,72
1785734806023,bot28,rtt,73
1785734806024,bot20,rtt,74
1785734806026,bot25,rtt,76
1785734806029,bot27,rtt,79
1785734806031,bot29,rtt,81
1785734806057,bot22,rtt,107
1785734806059,bot0,rtt,109
1785734806060,bot1,rtt,110
1785734806061,bot15,rtt,111
1785734806063,bot2,rtt,113
1785734806064,bot3,rtt,114
1785734806065,bot5,rtt,115
1785734806067,bot4,rtt,117
1785734806069,bot7,rtt,119
1785734806071,bot6,rtt,121
1785734806073,bot9,rtt,122
1785734806075,bot11,rtt,124
1785734806089,bot8,rtt,139
1785734806995,bot24,rtt,45
1785734806996,bot25,rtt,42
1785734806996,bot27,rtt,42
1785734806997,bot29,rtt,43
1785734807005,bot15,rtt,51
1785734807006,bot1,rtt,51
1785734807007,bot0,rtt,52
1785734807008,bot3,rtt,53
1785734807009,bot2,rtt,54
1785734807010,bot5,rtt,55
1785734807011,bot7,rtt,56
1785734807011,bot4,rtt,56
1785734807012,bot9,rtt,57
1785734807013,bot6,rtt,58
1785734807014,bot11,rtt,59
1785734807017,bot13,rtt,63
1785734807019,bot8,rtt,64
1785734807020,bot17,rtt,65
1785734807021,bot10,rtt,66
1785734807022,bot19,rtt,67
1785734807024,bot12,rtt,70
