1785734441880,bot9,rtt,42
1785734442136,bot4,rtt,42
1785734442137,bot2,rtt,43
1785734442139,bot6,rtt,41
1785734442140,bot8,rtt,42
1785734442500,bot0,rtt,42
1785734442682,bot3,rtt,42
1785734442685,bot7,rtt,42
1785734442688,bot5,rtt,43
1785734442850,bot1,rtt,42
1785734442881,bot9,rtt,44
1785734443136,bot4,rtt,42
1785734443137,bot2,rtt,43
1785734443139,bot6,rtt,41
1785734443140,bot8,rtt,42
1785734443499,bot0,rtt,42
1785734443682,bot3,rtt,41
1785734443684,bot7,rtt,42
1785734443687,bot5,rtt,41
1785734443850,bot1,rtt,42
1785734443879,bot9,rtt,42
1785734444136,bot4,rtt,42
1785734444137,bot2,rtt,43
1785734444140,bot6,rtt,42
1785734444140,bot8,rtt,42
1785734444499,bot0,rtt,42
1785734444682,bot3,rtt,42
1785734444683,bot7,rtt,41
1785734444687,bot5,rtt,41
1785734444850,bot1,rtt,42
1785734444880,bot9,rtt,43
1785734445137,bot4,rtt,43
1785734445138,bot2,rtt,44
1785734445141,bot6,rtt,42
1785734445141,bot8,rtt,42
1785734445499,bot0,rtt,41
1785734445682,bot3,rtt,42
1785734445684,bot7,rtt,41
1785734445687,bot5,rtt,42
1785734445850,bot1,rtt,41
1785734445880,bot9,rtt,42
1785734446135,bot4,rtt,41
1785734446136,bot2,rtt,42
1785734446140,bot6,rtt,42
1785734446141,bot8,rtt,41
1785734446499,bot0,rtt,42
1785734446683,bot3,rtt,42
1785734446684,bot7,rtt,42
1785734446687,bot5,rtt,42
1785734446850,bot1,rtt,42
1785734446881,bot9,rtt,43
1785734447136,bot4,rtt,41
1785734447136,bot2,rtt,42
1785734447140,bot6,rtt,41
1785734447141,bot8,rtt,42
1785734447499,bot0,rtt,42
1785734447683,bot3,rtt,43
1785734447684,bot7,rtt,42
1785734447687,bot5,rtt,42
1785734447849,bot1,rtt,41
1785734447881,bot9,rtt,43
1785734448135,bot4,rtt,41
1785734448136,bot2,rtt,42
1785734448140,bot6,rtt,42
1785734448143,bot8,rtt,41
1785734448499,bot0,rtt,42
1785734448682,bot3,rtt,42
1785734448684,bot7,rtt,41
1785734448686,bot5,rtt,41
1785734448851,bot1,rtt,42
1785734448880,bot9,rtt,42
1785734449135,bot4,rtt,41
1785734449136,bot2,rtt,42
1785734449139,bot6,rtt,41
1785734449144,bot8,rtt,41
1785734449499,bot0,rtt,41
1785734449682,bot3,rtt,42
1785734449685,bot7,rtt,42
1785734449687,bot5,rtt,41
1785734449851,bot1,rtt,42
1785734449881,bot9,rtt,42
1785734450136,bot4,rtt,42
1785734450136,bot2,rtt,42
1785734450139,bot6,rtt,41
1785734450145,bot8,rtt,42
1785734450500,bot0,rtt,42
1785734450682,bot3,rtt,42
1785734450685,bot7,rtt,42
1785734450687,bot5,rtt,42
1785734450851,bot1,rtt,42
1785734450881,bot9,rtt,42
1785734451136,bot4,rtt,41
1785734451137,bot2,rtt,42
1785734451140,bot6,rtt,42
1785734451145,bot8,rtt,42
1785734451501,bot0,rtt,43
1785734451681,bot3,rtt,41
1785734451685,bot7,rtt,41
1785734451686,bot5,rtt,41
1785734451850,bot1,rtt,41
1785734451880,bot9,rtt,41
1785734452137,bot4,rtt,41
1785734452138,bot2,rtt,42
1785734452140,bot6,rtt,42
1785734452146,bot8,rtt,42
1785734452500,bot0,rtt,42
1785734452682,bot3,rtt,42
1785734452686,bot7,rtt,43
1785734452687,bot5,rtt,41
1785734452850,bot1,rtt,41
1785734452881,bot9,rtt,42
1785734453137,bot2,rtt,42
1785734453138,bot4,rtt,41
1785734453140,bot6,rtt,42
1785734453145,bot8,rtt,41
1785734453500,bot0,rtt,42
1785734453681,bot3,rtt,41
1785734453686,bot7,rtt,42
1785734453688,bot5,rtt,42
1785734453851,bot1,rtt,41
1785734453882,bot9,rtt,43
1785734454139,bot2,rtt,44
1785734454139,bot4,rtt,42
1785734454140,bot6,rtt,42
1785734454146,bot8,rtt,42
1785734454500,bot0,rtt,42
1785734454682,bot3,rtt,42
1785734454686,bot7,rtt,42
1785734454688,bot5,rtt,41
1785734454850,bot1,rtt,41
1785734454881,bot9,rtt,42
1785734455138,bot2,rtt,42
1785734455139,bot4,rtt,42
1785734455140,bot6,rtt,41
1785734455145,bot8,rtt,41
1785734455501,bot0,rtt,42
1785734455682,bot3,rtt,41
1785734455686,bot7,rtt,41
1785734455688,bot5,rtt,42
1785734455853,bot1,rtt,42
1785734455880,bot9,rtt,41
1785734456137,bot2,rtt,41
1785734456139,bot4,rtt,41
1785734456141,bot6,rtt,41
1785734456146,bot8,rtt,41
1785734456501,bot0,rtt,42
1785734456682,bot3,rtt,41
1785734456685,bot7,rtt,41
1785734456687,bot5,rtt,41
1785734456853,bot1,rtt,42
1785734456881,bot9,rtt,42
1785734457138,bot2,rtt,42
1785734457139,bot4,rtt,41
1785734457142,bot6,rtt,42
1785734457147,bot8,rtt,42
1785734457502,bot0,rtt,44
1785734457683,bot3,rtt,42
1785734457685,bot7,rtt,41
1785734457688,bot5,rtt,42
1785734457855,bot1,rtt,43
1785734457882,bot9,rtt,43
1785734458139,bot2,rtt,43
1785734458140,bot4,rtt,42
1785734458144,bot6,rtt,43
1785734458148,bot8,rtt,43
1785734458501,bot0,rtt,42
1785734458683,bot3,rtt,42
1785734458687,bot7,rtt,42
1785734458688,bot5,rtt,41
1785734458860,bot1,rtt,41
1785734458881,bot9,rtt,42
1785734459139,bot2,rtt,43
1785734459139,bot4,rtt,41
1785734459143,bot6,rtt,41
1785734459148,bot8,rtt,42
1785734459501,bot0,rtt,42
1785734459683,bot3,rtt,42
1785734459687,bot7,rtt,42
1785734459690,bot5,rtt,42
1785734459862,bot1,rtt,43
1785734459883,bot9,rtt,44
1785734460139,bot2,rtt,43
1785734460142,bot4,rtt,42
1785734460144,bot6,rtt,41
1785734460147,bot8,rtt,42
1785734460501,bot0,rtt,42
1785734460684,bot3,rtt,43
1785734460687,bot7,rtt,42
1785734460691,bot5,rtt,42
1785734460861,bot1,rtt,42
1785734460883,bot9,rtt,44
1785734461139,bot2,rtt,43
1785734461142,bot4,rtt,42
1785734461144,bot6,rtt,42
1785734461147,bot8,rtt,42
1785734461502,bot0,rtt,43
1785734461685,bot3,rtt,44
1785734461686,bot7,rtt,41
1785734461691,bot5,rtt,42
1785734461814,bot1,respawn
1785734461863,bot1,rtt,43
1785734461882,bot9,rtt,42
1785734462138,bot2,rtt,42
1785734462142,bot4,rtt,41
1785734462143,bot6,rtt,41
1785734462146,bot8,rtt,41
1785734462501,bot0,rtt,42
1785734462683,bot3,rtt,42
1785734462688,bot7,rtt,42
1785734462691,bot5,rtt,42
1785734462872,bot1,rtt,43
1785734462885,bot9,rtt,43
1785734463143,bot2,rtt,47
1785734463148,bot4,rtt,47
1785734463149,bot6,rtt,46
1785734463150,bot8,rtt,45
1785734463501,bot0,rtt,42
1785734463683,bot3,rtt,42
1785734463688,bot7,rtt,42
1785734463691,bot5,rtt,41
1785734463871,bot1,rtt,42
1785734463884,bot9,rtt,42
1785734464138,bot2,rtt,42
1785734464142,bot4,rtt,41
1785734464144,bot6,rtt,41
1785734464147,bot8,rtt,41
1785734464501,bot0,rtt,42
1785734464683,bot3,rtt,42
1785734464688,bot7,rtt,42
1785734464693,bot5,rtt,42
1785734464872,bot1,rtt,42
1785734464883,bot9,rtt,41
1785734465138,bot2,rtt,41
1785734465143,bot4,rtt,41
1785734465144,bot6,rtt,41
1785734465147,bot8,rtt,42
1785734465501,bot0,rtt,42
1785734465683,bot3,rtt,42
1785734465688,bot7,rtt,41
1785734465693,bot5,rtt,42
1785734465873,bot1,rtt,43
1785734465884,bot9,rtt,42
1785734466139,bot2,rtt,42
1785734466143,bot4,rtt,41
1785734466145,bot6,rtt,41
1785734466146,bot8,rtt,41
1785734466502,bot0,rtt,43
1785734466683,bot3,rtt,42
1785734466688,bot7,rtt,41
1785734466693,bot5,rtt,42
1785734466875,bot1,rtt,44
1785734466884,bot9,rtt,42
1785734466962,bot2,respawn
1785734467140,bot2,rtt,43
1785734467144,bot4,rtt,41
1785734467146,bot6,rtt,41
1785734467148,bot8,rtt,42
1785734467502,bot0,rtt,43
1785734467682,bot3,rtt,41
1785734467687,bot7,rtt,41
1785734467693,bot5,rtt,41
1785734467876,bot1,rtt,42
1785734467885,bot9,rtt,42
1785734468139,bot2,rtt,42
1785734468145,bot4,rtt,41
1785734468146,bot6,rtt,41
1785734468148,bot8,rtt,41
1785734468501,bot0,rtt,41
1785734468682,bot3,rtt,41
1785734468688,bot7,rtt,42
1785734468693,bot5,rtt,41
1785734468876,bot1,rtt,42
1785734468884,bot9,rtt,41
1785734469139,bot2,rtt,42
1785734469145,bot4,rtt,41
1785734469146,bot6,rtt,41
1785734469149,bot8,rtt,41
1785734469518,bot0,rtt,50
1785734469682,bot3,rtt,41
1785734469688,bot7,rtt,41
1785734469693,bot5,rtt,41
1785734469876,bot1,rtt,42
1785734469885,bot9,rtt,42
1785734470138,bot2,rtt,41
1785734470145,bot4,rtt,42
1785734470147,bot6,rtt,41
1785734470150,bot8,rtt,42
1785734470511,bot0,rtt,43
1785734470683,bot3,rtt,41
1785734470688,bot7,rtt,41
1785734470692,bot5,rtt,41
1785734470877,bot1,rtt,43
1785734470885,bot9,rtt,42
1785734471139,bot2,rtt,42
1785734471144,bot4,rtt,41
1785734471146,bot6,rtt,41
1785734471150,bot8,rtt,41
1785734471510,bot0,rtt,41
1785734471684,bot3,rtt,42
1785734471688,bot7,rtt,42
1785734471693,bot5,rtt,42
1785734471876,bot1,rtt,42
1785734471886,bot9,rtt,42
1785734472139,bot2,rtt,42
1785734472145,bot4,rtt,42
1785734472148,bot6,rtt,42
1785734472149,bot8,rtt,41
1785734472520,bot0,rtt,48
1785734472684,bot3,rtt,42
1785734472688,bot7,rtt,41
1785734472692,bot5,rtt,41
1785734472876,bot1,rtt,42
1785734472886,bot9,rtt,42
1785734473139,bot2,rtt,42
1785734473144,bot4,rtt,41
1785734473147,bot6,rtt,41
1785734473150,bot8,rtt,41
1785734473522,bot0,rtt,44
1785734473685,bot3,rtt,41
1785734473688,bot7,rtt,42
1785734473692,bot5,rtt,41
1785734473893,bot9,rtt,43
1785734473893,bot1,rtt,43
1785734474140,bot2,rtt,42
1785734474144,bot4,rtt,41
1785734474149,bot6,rtt,43
1785734474151,bot8,rtt,42
1785734474525,bot0,rtt,47
1785734474686,bot3,rtt,41
1785734474687,bot7,rtt,41
1785734474692,bot5,rtt,41
1785734474893,bot9,rtt,43
1785734474893,bot1,rtt,43
1785734475140,bot2,rtt,42
1785734475144,bot4,rtt,41
1785734475148,bot6,rtt,41
1785734475150,bot8,rtt,41
1785734475521,bot0,rtt,42
1785734475688,bot3,rtt,43
1785734475688,bot7,rtt,41
1785734475693,bot5,rtt,41
1785734475893,bot9,rtt,42
1785734475893,bot1,rtt,42
1785734476140,bot2,rtt,42
1785734476144,bot4,rtt,41
1785734476147,bot6,rtt,41
1785734476151,bot8,rtt,41
1785734476520,bot0,rtt,42
1785734476687,bot3,rtt,41
1785734476688,bot7,rtt,41
1785734476693,bot5,rtt,41
1785734476892,bot1,rtt,42
1785734476893,bot9,rtt,42
1785734477140,bot2,rtt,42
1785734477145,bot4,rtt,42
1785734477148,bot6,rtt,41
1785734477150,bot8,rtt,41
1785734477520,bot0,rtt,42
1785734477687,bot3,rtt,42
1785734477688,bot7,rtt,41
1785734477693,bot5,rtt,41
1785734477893,bot1,rtt,43
1785734477893,bot9,rtt,41
1785734478139,bot2,rtt,41
1785734478145,bot4,rtt,41
1785734478148,bot6,rtt,41
1785734478151,bot8,rtt,41
1785734478519,bot0,rtt,41
1785734478687,bot3,rtt,41
1785734478688,bot7,rtt,41
1785734478692,bot5,rtt,41
1785734478893,bot9,rtt,42
1785734478893,bot1,rtt,43
1785734479140,bot2,rtt,42
1785734479146,bot4,rtt,41
1785734479147,bot6,rtt,41
1785734479153,bot8,rtt,42
1785734479520,bot0,rtt,41
1785734479687,bot3,rtt,42
1785734479689,bot7,rtt,42
1785734479693,bot5,rtt,41
1785734479894,bot9,rtt,43
1785734479895,bot1,rtt,45
1785734480141,bot2,rtt,43
1785734480145,bot4,rtt,41
1785734480148,bot6,rtt,41
1785734480153,bot8,rtt,41
1785734480521,bot0,rtt,42
1785734480687,bot3,rtt,41
1785734480688,bot7,rtt,41
1785734480693,bot5,rtt,41
1785734480892,bot1,rtt,42
1785734480893,bot9,rtt,42
1785734481141,bot2,rtt,43
1785734481147,bot4,rtt,42
1785734481149,bot6,rtt,41
1785734481157,bot8,rtt,42
1785734481521,bot0,rtt,42
1785734481688,bot3,rtt,42
1785734481690,bot7,rtt,42
1785734481694,bot5,rtt,41
1785734481892,bot1,rtt,42
1785734481893,bot9,rtt,41
1785734482140,bot2,rtt,42
1785734482146,bot4,rtt,41
