1785733660400,bot7,rtt,4469
1785733660401,bot9,rtt,4475
1785733660401,bot11,rtt,4470
1785733660402,bot13,rtt,4476
1785733660403,bot15,rtt,4477
1785733660408,bot23,rtt,4482
1785733660895,bot24,rtt,4136
1785733660914,bot28,rtt,4184
1785733661285,bot0,rtt,4332
1785733661286,bot2,rtt,4334
1785733661286,bot4,rtt,4333
1785733661287,bot6,rtt,4334
1785733661287,bot8,rtt,4334
1785733661288,bot10,rtt,4335
1785733661288,bot12,rtt,4335
1785733661289,bot14,rtt,4337
1785733661289,bot16,rtt,4337
1785733661289,bot18,rtt,4336
1785733661290,bot20,rtt,4337
1785733661290,bot22,rtt,4337
1785733661313,bot26,rtt,4361
1785733661700,bot27,rtt,4941
1785733661713,bot29,rtt,4982
1785733662149,bot1,rtt,5196
1785733662150,bot3,rtt,5197
1785733662150,bot5,rtt,5198
1785733662151,bot7,rtt,5198
1785733662151,bot9,rtt,5199
1785733662152,bot11,rtt,5199
1785733662152,bot13,rtt,5199
1785733662153,bot15,rtt,5200
1785733662153,bot17,rtt,5201
1785733662153,bot19,rtt,5200
1785733662154,bot21,rtt,5201
1785733662154,bot23,rtt,5202
1785733662162,bot25,rtt,5209
1785733662737,bot24,rtt,4973
1785733662760,bot28,rtt,4996
1785733662935,bot25,rtt,4980
1785733662945,bot27,rtt,5181
1785733662956,bot1,rtt,5001
1785733662956,bot3,rtt,5003
1785733662956,bot5,rtt,5003
1785733662956,bot7,rtt,5001
1785733662957,bot9,rtt,5004
1785733662957,bot11,rtt,5002
1785733662957,bot13,rtt,5004
1785733662958,bot17,rtt,5005
1785733662958,bot19,rtt,5003
1785733663028,bot21,rtt,5073
1785733663033,bot23,rtt,5080
1785733663052,bot29,rtt,5288
1785733663054,bot15,rtt,5101
1785733663213,bot18,rtt,5258
1785733663265,bot0,rtt,5312
1785733663266,bot2,rtt,5313
1785733663266,bot4,rtt,5313
1785733663267,bot6,rtt,5314
1785733663267,bot8,rtt,5312
1785733663267,bot10,rtt,5312
1785733663268,bot12,rtt,5313
1785733663268,bot14,rtt,5315
1785733663268,bot16,rtt,5315
1785733663269,bot20,rtt,5314
1785733663269,bot22,rtt,5314
1785733663270,bot26,rtt,5317
1785733663834,bot27,rtt,5068
1785733663840,bot29,rtt,5074
1785733664000,bot28,rtt,5236
1785733664023,bot24,rtt,5257
1785733664279,bot1,rtt,5144
1785733664290,bot3,rtt,5315
1785733664290,bot5,rtt,5315
1785733664291,bot7,rtt,5155
1785733664291,bot9,rtt,5316
1785733664291,bot13,rtt,5316
1785733664292,bot25,rtt,5156
1785733664292,bot15,rtt,5317
1785733664293,bot19,rtt,5157
1785733664293,bot21,rtt,5157
1785733664294,bot23,rtt,5319
1785733664294,bot11,rtt,5158
1785733664294,bot17,rtt,5319
1785733664547,bot12,rtt,5411
1785733664549,bot22,rtt,5413
1785733664569,bot0,rtt,5594
1785733664569,bot2,rtt,5594
1785733664570,bot4,rtt,5595
1785733664570,bot6,rtt,5595
1785733664571,bot8,rtt,5435
1785733664571,bot10,rtt,5435
1785733664572,bot14,rtt,5597
1785733664572,bot16,rtt,5597
1785733664573,bot18,rtt,5437
1785733664574,bot20,rtt,5438
1785733664575,bot26,rtt,5601
1785733664931,bot24,rtt,5111
1785733664939,bot28,rtt,5172
1785733664960,bot27,rtt,5140
1785733664969,bot29,rtt,5149
1785733665066,bot2,rtt,5070
1785733665068,bot14,rtt,5072
1785733665126,bot26,rtt,5130
1785733665126,bot16,rtt,5130
1785733665139,bot0,rtt,5142
1785733665142,bot4,rtt,5145
1785733665143,bot6,rtt,5146
1785733665155,bot3,rtt,5158
1785733665155,bot5,rtt,5159
1785733665156,bot9,rtt,5160
1785733665156,bot13,rtt,5160
1785733665156,bot15,rtt,5160
1785733665157,bot17,rtt,5161
